chrom	start	end	z_den_excess	den_excess	div_den_afr	nea_afr	callable_frac	mean_rm	mean_map20	mean_ur	artifact	n_repl_other_wins	evidence_tier
21	22900000	22950000	4.04274	0.000982373	0.00235516	0.00137279	0.55256	0.698324	0.72736	0.860335	True	1	Artifact-likely
21	27600000	27650000	4.03853	0.000981397	0.00193395	0.000952553	0.48822	0.643357	0.275	0.27972	True	2	Artifact-likely
21	25800000	25850000	3.99663	0.000971697	0.00231193	0.00134023	0.61094	0.441379	0.75651	0	False	2	Moderate
22	43150000	43200000	3.95151	0.00096125	0.00296577	0.00200452	0.4085	0.558011	0.600329	0.40884	True	2	Artifact-likely
22	38000000	38050000	3.88597	0.000946073	0.00221624	0.00127017	0.5438	0.487013	0.696759	0	True	2	Artifact-likely
22	46750000	46800000	3.87808	0.000944247	0.0030033	0.00205905	0.5587	0.382075	0.796737	0	False	2	Moderate
21	23750000	23800000	3.80329	0.00092693	0.00367777	0.00275084	0.51698	0.759494	0.695699	1	True	2	Artifact-likely
21	37450000	37500000	3.78191	0.00092198	0.00246393	0.00154195	0.31734	0.89418	0.580038	0	True	0	Artifact-likely
22	22350000	22400000	3.65563	0.00089274	0.00288781	0.00199507	0.56952	0		0	False	2	Moderate
21	28500000	28550000	3.43601	0.00084189	0.00193812	0.00109623	0.587	0.45283	0.801876	0.163522	False	1	Moderate
21	38000000	38050000	3.39579	0.000832577	0.00246225	0.00162967	0.53588	0.563725	0.651042	1	True	1	Artifact-likely
21	35800000	35850000	3.38773	0.00083071	0.0021769	0.00134619	0.5383	0.735714	0.660671	0	True	2	Artifact-likely
22	38350000	38400000	3.3752	0.00082781	0.00130888	0.00048107	0.55344	0.545455	0.636905	0.785124	True	1	Artifact-likely
22	19450000	19500000	3.34656	0.000821178	0.00160344	0.000782262	0.5614	0.485714	0.721955	0	False	1	Moderate
21	22500000	22550000	3.34578	0.000820997	0.00229502	0.00147402	0.63006	0.488189	0.771429	0	False	2	Moderate
22	38500000	38550000	3.34395	0.000820573	0.00244074	0.00162017	0.5276	0.60221	0.689571	0	True	1	Artifact-likely
21	27350000	27400000	3.34234	0.0008202	0.00206684	0.00124664	0.58392	0.343612	0.816744	0.947137	True	2	Artifact-likely
22	19900000	19950000	3.33592	0.000818713	0.00209392	0.00127521	0.41342	0.627778	0.642655	0	True	1	Artifact-likely
21	46100000	46150000	3.32535	0.000816267	0.00248985	0.00167358	0.51294	0.554054	0.737847	0.844595	False	2	Moderate
21	20450000	20500000	3.29316	0.000808813	0.00235549	0.00154668	0.5769	0.655556	0.72693	0	True	1	Artifact-likely
21	36800000	36850000	3.26009	0.000801157	0.00147058	0.000669423	0.56798	0.424242	0.836439	1	True	2	Artifact-likely
21	36750000	36800000	3.23694	0.000795795	0.00187823	0.00108243	0.61368	0.473118	0.753333	0.510753	False	1	Moderate
21	45550000	45600000	3.23468	0.000795273	0.00216036	0.00136509	0.59456	0.362573	0.838889	0	False	1	Moderate
21	32800000	32850000	3.1831	0.00078333	0.00205071	0.00126738	0.48252	0.577778	0.640827	1	True	1	Artifact-likely
21	27400000	27450000	3.17258	0.000780895	0.00184145	0.00106056	0.60362	0.486772	0.727718	1	True	1	Artifact-likely
21	25550000	25600000	3.07057	0.000757273	0.00185372	0.00109645	0.59118	0.572973	0.683892	0	True	2	Artifact-likely
22	44900000	44950000	3.06449	0.000755867	0.0031003	0.00234443	0.53722	0.665158	0.698565	1	True	1	Artifact-likely
21	43850000	43900000	3.03969	0.000750123	0.00224328	0.00149316	0.60722	0.4	0.871585	1	True	2	Artifact-likely
21	28800000	28850000	3.00953	0.00074314	0.00283553	0.00209239	0.6032	0.610256	0.690538	1	True	1	Artifact-likely
