chrom	start	end	callable_common	callable_den	callable_alt	callable_vin	callable_chag	div_den_alt	div_den_vin	div_den_chag	div_alt_vin	div_alt_chag	div_vin_chag	div_den_afr	div_den_eur	div_alt_afr	div_alt_eur	div_vin_afr	div_vin_eur	div_chag_afr	div_chag_eur	mean_map20	mean_rm	mean_ur	mean_bsc	n_sites	callable_frac	callable_frac_den	z_den_afr	p_den_afr	cddr	low_quality
22	34780000	34800000	8733	10175	10130	10324	10170	0.000687049	0.000744303	0.000687049	5.72541e-05	0	5.72541e-05	0.00432643	0.00465557	0.00433456	0.00464671	0.00439181	0.00470396	0.00433456	0.00464671	0.748039	0.69	0	955.7	350	0.43665	0.43665	4.29455	0.0147354	True	False
22	49100000	49120000	12633	15551	15270	15050	15436	0.00641178	0.00668883	0.00672841	0.00035621	0.000395789	3.95789e-05	0.00432494	0.00442694	0.00543471	0.00492563	0.00542016	0.00491439	0.00545974	0.00495397	0.85084	0.233333	0	986.45	606	0.63165	0.63165	4.29235	0.016075	True	False
22	46720000	46740000	10685	13046	13435	13224	13030	0.00397754	0.00407113	0.00397754	9.35891e-05	0.000187178	0.000280767	0.00429143	0.00423094	0.000916977	0.00101774	0.00101057	0.00111133	0.000916977	0.00101756	0.734543	0.414062	0	733.523	368	0.53425	0.53425	4.24289	0.0174146	True	False
22	49520000	49540000	11491	13340	13385	13339	12925	0.00556958	0.00570011	0.00556958	0.000652685	0.000391611	0.000522148	0.00426164	0.00434007	0.00340523	0.00289115	0.00348515	0.00288052	0.00337324	0.00282653	0.711111	0.783505	0	994	488	0.57455	0.57455	4.19893	0.0187542	True	False
22	45440000	45460000	10660	12528	12466	12466	12589	0.00375235	0.00403377	0.00384615	0.000469043	0.000281426	0.000187617	0.00408338	0.00419875	0.00310698	0.00368087	0.00328126	0.00408483	0.00309364	0.00389721	0.604167	0.625	0	981.192	436	0.533	0.533	3.93584	0.0200938	True	False
22	26180000	26200000	10877	13225	13003	13222	12897	0.00303392	0.00312586	0.00312586	9.19371e-05	9.19371e-05	0	0.00406797	0.00439006	0.00220269	0.00234075	0.00229421	0.0024305	0.00229421	0.0024305	0.634615	0.691589	1	958.075	378	0.54385	0.54385	3.9131	0.0214334	True	False
22	45640000	45660000	7114	8132	8342	9698	9658	0.000702839	0.00309249	0.00309249	0.00238965	0.00238965	0.000421704	0.00403095	0.00495195	0.0036167	0.00453025	0.0033684	0.00356615	0.00336818	0.00356615	0.509804	0.843137	0	949.824	286	0.3557	0.3557	3.85846	0.0227729	True	True
22	43160000	43180000	7341	8747	8777	8818	8777	0.00422286	0.00422286	0.00422286	0.000272442	0.000544885	0.000408664	0.00402787	0.00353385	0.00192306	0.00240272	0.00206134	0.00253881	0.00219962	0.00267489	0.464461	0.623529	0.329412	815.353	260	0.36705	0.36705	3.85392	0.0241125	True	True
22	26780000	26800000	9507	11016	10994	11225	11162	0.00320816	0.00310298	0.00310298	0.000105186	0.000105186	0.000105186	0.00400345	0.00422737	0.0042206	0.00415721	0.00411573	0.00405329	0.00411573	0.00405329	0.683824	0.699029	1	930.282	333	0.47535	0.47535	3.81787	0.0254521	True	False
22	22340000	22360000	11035	12971	12936	12775	12863	0.00398731	0.00403262	0.00407793	0.000362483	0.000407793	0.000181242	0.0039749	0.00391844	0.00107043	0.00100821	0.00104089	0.000967222	0.00108593	0.00100965		0	0		371	0.55175	0.55175	3.77573	0.0267917	True	False
22	23860000	23880000	6712	8208	8490	8377	8084	0.00260727	0.0034267	0.00297974	0.0023093	0.00216031	0.000595948	0.00397452	0.00386341	0.00398704	0.00421868	0.00396776	0.00425218	0.00368805	0.00405891	0.830556	0.402985	0	976	316	0.3356	0.3356	3.77518	0.0281313	True	False
22	22800000	22820000	6987	8211	8198	8242	8198	0.00114498	0.000715615	0.00100186	0.000715615	0.000143123	0.000572492	0.00396923	0.00508179	0.00425505	0.00535779	0.00382525	0.00491961	0.00411192	0.00521467		0	0		251	0.34935	0.34935	3.76737	0.0294709	True	False
22	22700000	22720000	7037	8826	8650	8258	8648	0.00270001	0.00213159	0.00234475	0.00213159	0.00234475	0.000213159	0.00395126	0.00458617	0.00457999	0.00515798	0.00244851	0.00302765	0.00266167	0.00324081		0	0		264	0.35185	0.35185	3.74084	0.0308104	True	False
22	45120000	45140000	10966	14503	14047	14873	15122	0.0030549	0.00150465	0.00132227	0.00337407	0.00319168	0.000182382	0.00393949	0.00390308	0.00239622	0.00273801	0.00415372	0.00424264	0.00397148	0.00406026	0.842593	0.430108	0	956	504	0.5483	0.5483	3.72348	0.03215	True	False
22	48620000	48640000	12963	15022	15087	15093	15229	0.00239142	0.00239142	0.00300856	0	0.000925712	0.000925712	0.00392648	0.00405579	0.0030681	0.00308163	0.0030681	0.00308163	0.00331679	0.00314727	0.814167	0.512605	0	996.22	534	0.64815	0.64815	3.70428	0.0334896	True	False
22	22560000	22580000	10447	12432	12473	12435	12419	0.00277592	0.00277592	0.00277592	0	9.57213e-05	9.57213e-05	0.00386477	0.00390811	0.00333135	0.00362108	0.00333135	0.00362108	0.00333135	0.00362108	0.857143	0.363636	0		414	0.52235	0.52235	3.61319	0.0348292	True	False
22	36800000	36820000	7016	8330	8416	8384	8243	0.00363455	0.00363455	0.00377708	0.000142531	0.000142531	0.000285063	0.00377145	0.00384319	0.000740636	0.000679575	0.000877452	0.000822107	0.000883167	0.000822107	0.380848	0.754237	0	891.551	208	0.3508	0.3508	3.47547	0.0361688	True	True
22	46980000	47000000	11472	12958	13213	13024	13264	0.00117678	0.00122036	0.00117678	0.000261506	0.000261506	0.000130753	0.00376269	0.00282106	0.00412336	0.00331245	0.00423769	0.00343506	0.00419411	0.00339147	0.771739	0.319149	0	956.915	494	0.5736	0.5736	3.46254	0.0375084	True	False
22	49180000	49200000	11350	13307	13564	13365	13308	0.00352423	0.00343612	0.00352423	0.00193833	0.00118943	0.00110132	0.0037621	0.00397731	0.00244994	0.00202924	0.00232159	0.00139497	0.00247107	0.00176754	0.780928	0.64	0	994	441	0.5675	0.5675	3.46167	0.038848	True	False
22	49540000	49560000	13249	15152	15522	15532	15592	0.00241528	0.00260397	0.00286814	0.000415126	0.000943467	0.00086799	0.00369771	0.00337158	0.00293849	0.00212552	0.00288629	0.0021139	0.00320921	0.00252872	0.812734	0.504132	0	993.876	676	0.66245	0.66245	3.36664	0.0401875	True	False
22	49040000	49060000	14202	16574	16491	16544	16693	0.000739332	0.000809745	0.000844951	0.000211238	0.000246444	0.000176032	0.00369206	0.00355628	0.0034592	0.00322781	0.00352866	0.00326924	0.00356397	0.00331893	0.894231	0.307692	0	990.769	677	0.7101	0.7101	3.3583	0.0415271	True	False
22	45160000	45180000	8580	10196	10154	10145	10143	0.00198135	0.00198135	0.0020979	0.0002331	0.000815851	0.000815851	0.0036381	0.00340823	0.00369787	0.0034476	0.00369787	0.0034476	0.00351661	0.00337021	0.522727	0.661972	0	982	321	0.429	0.429	3.27866	0.0428667	True	False
22	44920000	44940000	11915	13939	13990	14112	13964	0.00226605	0.0020982	0.00234998	0.00100713	8.39278e-05	0.000923206	0.00363628	0.00350669	0.00337057	0.00343746	0.00365462	0.00361623	0.00345449	0.00352138	0.672464	0.637097	1	984.452	495	0.59575	0.59575	3.27598	0.0442063	True	False
22	44500000	44520000	9629	11309	11358	11362	11371	0.0017655	0.00186935	0.00166165	0.000311559	0.000103853	0.000207706	0.00357211	0.00331924	0.00373052	0.00376201	0.00383438	0.00386586	0.00362667	0.00365816	0.710784	0.729167	0.1875	971.375	365	0.48145	0.48145	3.18126	0.0455459	True	False
22	22580000	22600000	8601	10208	10402	10204	10200	0.00186025	0.00197651	0.00186025	0.000116266	0	0.000116266	0.00352835	0.00344616	0.00269129	0.0027095	0.00280756	0.00282576	0.00269129	0.0027095	0.499084	0.768	0		342	0.43005	0.43005	3.11668	0.0468855	True	True
22	44940000	44960000	9383	11380	11569	11403	11341	0.00362357	0.00373015	0.003517	0.000532879	0.000106576	0.000426303	0.00351717	0.00323991	0.00174185	0.00178956	0.00177652	0.00186116	0.00163592	0.00168298	0.784615	0.637681	1	988	341	0.46915	0.46915	3.10018	0.0482251	True	False
22	22480000	22500000	9444	11135	10930	11098	11081	0.000847099	0.000847099	0.000847099	0	0	0	0.00349622	0.00224988	0.00346689	0.00247343	0.00346689	0.00247343	0.00346689	0.00247343	0.891304	0.416667	0		336	0.4722	0.4722	3.06926	0.0495646	True	False
22	46780000	46800000	10100	11483	11750	11830	11831	0.0029703	0.00262376	0.00321782	0.00123762	0.000445545	0.00148515	0.00349326	0.003467	0.00192607	0.00200781	0.00228514	0.00246045	0.00212971	0.00223664	0.724099	0.364865	0	812.041	480	0.505	0.505	3.06489	0.0509042	True	False
22	49060000	49080000	12196	14767	14869	14720	14707	0.00262381	0.00270581	0.0027468	8.19941e-05	0.000122991	4.0997e-05	0.00348552	0.00326446	0.00391071	0.00304616	0.00399221	0.00310453	0.0040329	0.00313142	0.813008	0.472527	0	993.945	550	0.6098	0.6098	3.05348	0.0522438	True	False
22	26700000	26720000	12550	14600	14407	14939	14582	0.000677291	0.000717131	0.000796813	0.000278884	0.000199203	0.000318725	0.00348344	0.00328266	0.00321649	0.00308473	0.00306913	0.00297441	0.00325633	0.00312457	0.675833	0.594059	1	912.822	435	0.6275	0.6275	3.05041	0.0535834	True	False
22	23100000	23120000	6305	7798	7707	7850	7948	0.0037272	0.00340999	0.00333069	0.00118953	0.00103093	0.000713719	0.00347491	0.00375293	0.00362692	0.0037724	0.00362692	0.0037601	0.00354761	0.00368395		0	0		244	0.31525	0.31525	3.03781	0.054923	True	False
