chrom	start	end	z_den_afr	div_den_afr	category	n_nea_shared	nea_detail	exc_alt_afr	exc_vin_afr	exc_chag_afr	z_den_alt	z_den_vin	z_den_chag	mean_map20	mean_rm	mean_ur	callable_frac_den
21	21800000	21850000	5.05218	0.00420165	3	0	alt:denonly;vin:denonly;chag:denonly	-2.62544	-2.4809	-2.76032	5.47213	5.51981	5.34097	0.640152	0.683824	0	0.51988
19	28300000	28350000	5.03373	0.00428636	3	0	alt:ambig;vin:ambig;chag:ambig	1.5705	1.54496	1.48065	-0.475675	-0.47344	-0.516709		0.775281	0	0.31004
18	75850000	75900000	4.95353	0.00392487	3	0	alt:ambig;vin:ambig;chag:ambig	1.75451	1.0036	1.55901	0.989325	3.43486	3.31818	0.81386	0.453925	1	0.66846
21	46250000	46300000	4.95205	0.00414823	3	0	alt:denonly;vin:denonly;chag:denonly	-6.13475	-5.66002	-5.86738	5.92644	5.93824	5.79272	0.751182	0.527869	0.747541	0.55258
19	46650000	46700000	4.87678	0.00419779	3	0	alt:ambig;vin:ambig;chag:ambig	-3.09017	-2.44541	-2.19247	1.66451	1.57132	1.64442		0.733333	0	0.39636
17	63950000	64000000	4.82754	0.00380278	3	0	alt:ambig;vin:ambig;chag:ambig	1.77142	1.82526	1.72443	-0.736589	-0.788575	-0.844586	0.747076	0.557093	0.422145	0.47764
18	62550000	62600000	4.78828	0.00384023	3	0	alt:denonly;vin:denonly;chag:denonly	-8.73504	-8.80329	-8.46806	3.94169	3.86451	3.96576	0.857201	0.439614	1	0.61304
20	51150000	51200000	4.62032	0.00364407	3	0	alt:denonly;vin:denonly;chag:denonly	-2.96299	0.164541	0.0520078	3.72739	2.44699	2.35776	0.691103	0.663004	0.0879121	0.4771
22	46700000	46750000	4.55518	0.0040693	3	0	alt:denonly;vin:denonly;chag:denonly	-7.92946	-7.66774	-7.88694	3.92821	3.84832	3.72511	0.739324	0.474403	0	0.5581
21	25450000	25500000	4.54841	0.00393286	1	3	alt:shared;vin:shared;chag:shared	3.15786	3.21019	2.44238	0.0517388	0.0311985	-0.30215	0.813525	0.510264	0	0.53956
16	78050000	78100000	4.49046	0.00464953	3	0	alt:ambig;vin:ambig;chag:ambig	-0.526849	-0.510077	-0.218022	1.70871	1.71964	1.73804	0.773955	0.41994	0	0.54286
16	81150000	81200000	4.47884	0.00464138	3	0	alt:denonly;vin:denonly;chag:denonly	-0.833456	-0.47482	-0.776767	6.36089	6.23255	5.97707	0.558806	0.680412	0	0.4212
16	81200000	81250000	4.43965	0.00461387	3	0	alt:ambig;vin:denonly;chag:denonly	2.88694	-0.687685	-0.871744	4.68417	4.24247	4.13973	0.702911	0.676471	0	0.51316
20	12500000	12550000	4.36159	0.0035178	3	0	alt:ambig;vin:ambig;chag:ambig	1.8347	1.7518	1.67246	-0.39351	-0.537885	-0.588015	0.772761	0.713043	1	0.54372
22	49050000	49100000	4.31952	0.00393356	3	0	alt:ambig;vin:ambig;chag:ambig	3.60537	3.68282	4.10594	2.19157	2.24963	2.3665	0.863124	0.386667	0	0.6173
21	19250000	19300000	4.31913	0.00381053	3	0	alt:denonly;vin:denonly;chag:denonly	-6.33282	-6.91818	-6.17004	3.4774	3.35309	3.4712	0.612354	0.76947	1	0.45166
19	28750000	28800000	4.284	0.00386331	1	3	alt:shared;vin:shared;chag:shared	3.4609	3.27267	2.83221	-0.842077	-0.894112	-1.08803	0.755759	0.588	0.588	0.47774
18	1950000	2000000	4.25475	0.00356695	3	0	alt:ambig;vin:denonly;chag:ambig	2.9876	-0.194138	2.65522	3.68484	4.42751	3.6031	0.646694	0.708	0	0.59254
16	84000000	84050000	4.21224	0.00445429	3	0	alt:ambig;vin:ambig;chag:ambig	1.43202	1.76671	1.42663	4.23906	4.61926	4.32208	0.796853	0.422594	0	0.58526
21	22400000	22450000	4.17825	0.00373536	3	0	alt:denonly;vin:denonly;chag:denonly	-2.6356	-2.37178	-2.03899	3.52329	3.61816	3.70127	0.822314	0.385542	0	0.57882
20	59550000	59600000	4.16618	0.00342242	3	0	alt:ambig;vin:ambig;chag:ambig	1.38541	1.63047	1.34654	0.0690577	-0.0367673	-0.111467	0.794066	0.502564	0	0.6187
16	12700000	12750000	4.15858	0.00441664	3	0	alt:ambig;vin:ambig;chag:ambig	5.10763	4.96591	5.12017	3.68437	3.71167	3.60264	0.707607	0.636054	0	0.43436
18	57650000	57700000	4.13788	0.00350709	3	0	alt:ambig;vin:ambig;chag:ambig	-1.34656	-1.28547	-1.23286	1.16733	1.20648	1.19955	0.665675	0.568966	0	0.3717
20	11300000	11350000	4.1363	0.00340784	3	0	alt:ambig;vin:ambig;chag:ambig	1.00079	0.9544	0.850661	0.413609	0.389529	0.336797	0.75733	0.493274	1	0.61308
21	25350000	25400000	4.12763	0.00370835	1	3	alt:shared;vin:shared;chag:shared	2.3667	2.31929	2.49371	0.204977	0.544498	0.455017		0.587234	0	0.55758
19	28800000	28850000	4.10454	0.00376205	3	0	alt:ambig;vin:ambig;chag:ambig	1.22634	1.07253	1.36678	-0.874193	-0.926243	-0.821654	0.785194	0.550725	1	0.5554
21	23750000	23800000	4.07031	0.00367777	3	0	alt:denonly;vin:denonly;chag:ambig	-4.0065	-1.66109	0.848834	3.9234	2.41354	0.595948	0.695699	0.759494	1	0.51698
19	350000	400000	4.05632	0.00373484	3	0	alt:denonly;vin:denonly;chag:denonly	-1.41767	-0.211084	-0.656695	3.76305	4.12555	3.88465	0.643333	0.729097	0	0.40672
19	48500000	48550000	4.04495	0.00372842	3	0	alt:denonly;vin:denonly;chag:denonly	-0.051908	0.278499	0.335459	2.48485	2.0355	2.05598	0.610175	0.721557	0	0.46258
19	29050000	29100000	4.03469	0.00372263	2	2	alt:shared;vin:shared;chag:ambig	2.00453	2.04984	1.8429	-0.781965	-0.74871	-0.848132	0.860884	0.444444	0.940476	0.59018
21	25500000	25550000	4.03226	0.00365747	3	0	alt:denonly;vin:denonly;chag:denonly	-2.19589	-2.58062	-2.32718	3.09846	2.9355	2.99455	0.809984	0.368421	0	0.59506
22	22550000	22600000	4.0195	0.00376076	3	0	alt:denonly;vin:denonly;chag:denonly	0.191856	0.216107	0.19701	2.24603	2.26101	2.21082	0.670952	0.525974	0	0.51158
19	29100000	29150000	3.99581	0.0037007	2	1	alt:ambig;vin:ambig;chag:shared	1.75024	1.75705	2.00062	-0.730917	-0.782901	-0.701948	0.733986	0.675958	0.8223	0.49186
16	12600000	12650000	3.99514	0.00430195	3	0	alt:ambig;vin:ambig;chag:ambig	3.6035	3.57795	3.42632	4.83156	4.59412	4.57908	0.852351	0.396825	0.515873	0.62446
17	64000000	64050000	3.95779	0.00334486	2	1	alt:shared;vin:ambig;chag:ambig	2.13431	1.96625	1.88806	-0.755125	-0.80712	-0.855028	0.560284	0.659574	1	0.53898
18	61450000	61500000	3.93312	0.00340221	3	0	alt:ambig;vin:ambig;chag:ambig	-1.44452	-1.49082	0.222368	1.25521	1.23095	0.18886	0.754274	0.485356	0	0.62562
19	450000	500000	3.92944	0.00366324	3	0	alt:ambig;vin:denonly;chag:denonly	1.74832	-1.17607	-1.79144	0.474686	2.61838	2.33095	0.733607	0.755556	0	0.37442
22	49500000	49550000	3.90587	0.00369532	3	0	alt:denonly;vin:denonly;chag:denonly	-0.86095	-0.223529	-0.196698	5.06465	5.06837	4.96941	0.792546	0.583643	0	0.63266
18	55500000	55550000	3.89186	0.00338107	1	3	alt:shared;vin:shared;chag:shared	2.69717	2.69304	2.77446	0.403264	0.421432	0.422545	0.693062	0.550661	0.814978	0.4818
17	4300000	4350000	3.87296	0.00330019	2	1	alt:shared;vin:ambig;chag:ambig	2.5247	2.95121	2.90634	0.908581	1.11513	1.05812	0.342687	0.805461	0	0.32536
16	89800000	89850000	3.86149	0.00420817	3	0	alt:ambig;vin:ambig;chag:ambig	1.97814	1.90427	1.87972	0.238894	0.228185	0.110069	0.62963	0.548263	0	0.41094
17	250000	300000	3.85269	0.00328952	3	0	alt:denonly;vin:denonly;chag:denonly	-7.5643	-7.33247	-7.21253	3.54334	3.67032	3.68194		0.761905	0	0.3791
18	4450000	4500000	3.85201	0.00336066	3	0	alt:denonly;vin:denonly;chag:denonly	-4.01175	-5.5204	-5.47139	2.80042	3.45479	3.25045	0.82125	0.470297	0.267327	0.57124
16	79250000	79300000	3.80661	0.00416966	1	3	alt:shared;vin:shared;chag:shared	2.87369	2.6148	2.82858	0.809748	0.758477	0.789075	0.697163	0.510288	0.744856	0.5038
22	23050000	23100000	3.7904	0.00362881	3	0	alt:ambig;vin:ambig;chag:ambig	5.21778	5.36403	5.34248	8.5196	8.61823	8.48712		0	0	0.34386
17	77650000	77700000	3.77444	0.00324832	3	0	alt:denonly;vin:denonly;chag:denonly	-0.704836	-0.711572	-1.27599	4.56247	4.51294	4.14689	0.708904	0.295276	0	0.40834
18	4900000	4950000	3.71394	0.00328994	3	0	alt:ambig;vin:denonly;chag:ambig	-2.40858	-2.40621	-2.2858	1.9243	2.00489	1.82727	0.776042	0.773869	1	0.51074
18	11500000	11550000	3.70075	0.00328319	3	0	alt:denonly;vin:denonly;chag:denonly	0.408949	0.941789	0.859312	2.4219	2.49323	2.41283	0.790064	0.666667	0.259259	0.55058
16	12500000	12550000	3.68132	0.00408174	3	0	alt:denonly;vin:denonly;chag:denonly	-4.32191	-3.58733	-3.28221	4.32054	4.44437	4.54737	0.759563	0.528	1	0.58014
18	52400000	52450000	3.66877	0.0032668	3	0	alt:ambig;vin:ambig;chag:ambig	1.6333	1.45959	1.48018	-0.407551	-0.459385	-0.475763	0.821949	0.474747	1	0.62622
16	84450000	84500000	3.62548	0.00404256	3	0	alt:ambig;vin:ambig;chag:ambig	1.90863	2.22637	1.23063	4.56559	4.21521	4.11792	0.777443	0.480159	0	0.55752
19	22700000	22750000	3.61754	0.00348725	3	0	alt:ambig;vin:ambig;chag:ambig	2.40974	2.99378	2.73028	2.13869	1.92721	1.85985	0.738739	0.551546	0	0.31288
18	41050000	41100000	3.61464	0.00323908	3	0	alt:denonly;vin:ambig;chag:ambig	0.995907	1.17405	1.24518	2.39534	2.5108	2.45765	0.740221	0.712871	0	0.50524
20	54000000	54050000	3.61034	0.00315114	3	0	alt:denonly;vin:denonly;chag:denonly	-6.42529	-6.53052	-6.51427	3.83342	3.7555	3.72247	0.759181	0.738095	1	0.59782
16	7400000	7450000	3.60452	0.00402784	3	0	alt:denonly;vin:denonly;chag:denonly	-3.68688	-3.76522	-3.53375	3.55663	3.50663	3.55491	0.730567	0.442308	0	0.63236
17	58800000	58850000	3.60438	0.00315878	3	0	alt:ambig;vin:ambig;chag:ambig	1.02145	1.47849	1.42955	-1.3756	-1.18218	-1.21328	0.490152	0.746667	1	0.34134
18	74300000	74350000	3.60357	0.00323341	3	0	alt:denonly;vin:ambig;chag:ambig	0.456356	1.34794	1.20938	3.84608	3.76476	3.73163	0.703488	0.53629	0	0.5332
16	78350000	78400000	3.60353	0.00402715	1	3	alt:shared;vin:shared;chag:shared	3.17179	3.05608	2.85718	0.752895	0.730029	0.615422	0.764205	0.484211	0	0.58998
18	47250000	47300000	3.58405	0.00322341	3	0	alt:denonly;vin:denonly;chag:denonly	-2.27313	-1.96856	-1.99258	3.06111	3.15669	3.10093	0.752463	0.529126	0.941748	0.57516
20	12250000	12300000	3.56245	0.00312777	3	0	alt:ambig;vin:ambig;chag:ambig	-2.40152	1.33706	1.26031	1.93531	0.895532	0.832472	0.74422	0.677778	0	0.55966
18	70000000	70050000	3.55979	0.00321099	3	0	alt:ambig;vin:ambig;chag:ambig	1.20182	1.44846	1.49558	2.51175	2.62304	1.56083	0.826524	0.601533	0.754789	0.6221
17	34250000	34300000	3.53891	0.00312431	3	0	alt:denonly;vin:denonly;chag:denonly	0.629415	-0.0378705	-0.229346	2.82042	2.66063	2.63881	0.547619	0.637681	0	0.30652
22	22450000	22500000	3.53275	0.00348041	3	0	alt:ambig;vin:ambig;chag:ambig	0.167961	0.318181	0.285938	0.810217	0.875757	0.833684	0.7425	0.437037	0	0.4308
18	36050000	36100000	3.52957	0.0031955	3	0	alt:ambig;vin:ambig;chag:ambig	0.959388	0.992138	1.17124	-0.0115515	-0.138592	-0.131744	0.841713	0.480874	0	0.66754
22	48600000	48650000	3.52867	0.00347806	3	0	alt:denonly;vin:denonly;chag:denonly	-0.0707703	-0.204507	0.636512	2.81474	2.76439	3.35255	0.792243	0.547529	0	0.6249
16	83100000	83150000	3.52651	0.0039731	3	0	alt:ambig;vin:ambig;chag:ambig	2.36392	1.3782	1.36031	1.21209	0.719781	0.61509	0.809232	0.509709	0.995146	0.64626
20	60200000	60250000	3.50996	0.00310215	3	0	alt:denonly;vin:denonly;chag:denonly	-3.23485	-3.0201	-2.74474	3.43376	3.43474	3.78391	0.897024	0.23871	0	0.6572
22	49300000	49350000	3.50498	0.00346442	2	1	alt:ambig;vin:ambig;chag:shared	1.95621	1.51491	2.35392	0.304196	0.140226	0.450352	0.677994	0.701613	0	0.59652
21	33950000	34000000	3.50109	0.00337406	1	3	alt:shared;vin:shared;chag:shared	2.44759	2.15033	2.22627	0.449672	0.350011	0.351855	0.741883	0.568421	0.115789	0.34782
16	5600000	5650000	3.49976	0.00395433	3	0	alt:denonly;vin:denonly;chag:denonly	0.363545	0.878101	0.944785	3.07885	3.32313	3.29453	0.764957	0.572954	0.565836	0.56954
20	59950000	60000000	3.48364	0.0030893	3	0	alt:denonly;vin:denonly;chag:denonly	-2.21749	-2.18679	-2.19571	2.31577	2.2652	2.27597	0.779915	0.505976	0.533865	0.58168
22	24150000	24200000	3.45905	0.00343796	3	0	alt:ambig;vin:ambig;chag:ambig	3.65599	3.45109	3.41885	1.22728	1.28025	1.03227	0.696237	0.557447	0.961702	0.48362
18	43550000	43600000	3.44664	0.00315303	1	3	alt:shared;vin:shared;chag:shared	2.72418	2.79586	2.87872	-0.409969	-0.461804	-0.451646	0.667763	0.596154	0.878205	0.49934
16	88950000	89000000	3.43559	0.0039093	3	0	alt:ambig;vin:ambig;chag:ambig	1.83167	1.44966	1.83314	2.28	1.85428	1.96449	0.878855	0.51341	0	0.53658
18	75350000	75400000	3.43198	0.00314552	3	0	alt:ambig;vin:ambig;chag:ambig	2.83756	3.26576	3.03074	1.20037	1.72743	1.59469	0.748728	0.555556	0	0.55124
17	81000000	81050000	3.40751	0.00305513	1	3	alt:shared;vin:shared;chag:shared	2.3724	2.41569	2.57349	0.298596	0.340265	0.372955	0.698593	0.510823	0	0.54002
18	61350000	61400000	3.4068	0.00313262	3	0	alt:ambig;vin:ambig;chag:ambig	-1.38082	1.25415	-1.75045	1.50046	-0.563847	1.31746	0.708702	0.619469	0	0.54152
20	44150000	44200000	3.39808	0.00304754	2	1	alt:shared;vin:ambig;chag:ambig	2.13719	1.83116	1.21586	-1.12189	-1.23098	-1.43835	0.733204	0.634981	1	0.58922
20	8800000	8850000	3.39196	0.00304455	3	0	alt:ambig;vin:ambig;chag:ambig	-0.950255	-1.00406	-1.0147	0.422344	0.397664	0.372524	0.797161	0.459459	0.935135	0.62624
21	20200000	20250000	3.38844	0.00331395	3	0	alt:ambig;vin:ambig;chag:ambig	0.443372	0.202518	0.46633	0.207207	0.115502	0.159492	0.722588	0.670732	0	0.4177
19	46550000	46600000	3.36542	0.00334499	1	3	alt:shared;vin:shared;chag:shared	2.36148	2.59264	2.26833	-1.35352	-1.24309	-1.38596	0.681779	0.689119	0	0.41238
17	10550000	10600000	3.36095	0.00303061	3	0	alt:ambig;vin:ambig;chag:ambig	1.63454	1.44001	1.47272	-0.622868	-0.674801	-0.692623	0.681294	0.465969	1	0.55042
17	10600000	10650000	3.35615	0.00302809	3	0	alt:ambig;vin:ambig;chag:ambig	0.336453	0.344395	0.410132	-0.375586	-0.367651	-0.358457	0.711481	0.596	1	0.56142
21	28000000	28050000	3.34784	0.00329229	2	1	alt:shared;vin:ambig;chag:ambig	2.00786	1.83995	1.91785	-1.22523	-1.27744	-1.25893	0.620206	0.682119	0.10596	0.47496
18	69950000	70000000	3.34138	0.00309911	3	0	alt:denonly;vin:denonly;chag:denonly	-4.43912	-4.40564	-4.56947	3.66866	3.44937	3.36361	0.836174	0.412429	0	0.59432
18	77250000	77300000	3.33945	0.00309812	2	2	alt:shared;vin:ambig;chag:shared	2.03345	1.54242	2.13961	0.572983	0.374584	0.608997	0.844055	0.521569	0	0.57046
18	76150000	76200000	3.3281	0.00309231	3	0	alt:ambig;vin:ambig;chag:ambig	0.704958	0.483934	0.35129	1.55867	1.69438	1.60329	0.851075	0.417178	0	0.62908
17	5250000	5300000	3.3164	0.00300716	3	0	alt:denonly;vin:denonly;chag:denonly	-5.38	-5.1075	-5.24398	2.37841	2.45905	2.37436	0.659204	0.538732	0.957746	0.51142
21	21850000	21900000	3.30804	0.00327105	3	0	alt:ambig;vin:ambig;chag:ambig	1.76365	1.52212	1.67574	2.30583	2.22303	2.23758	0.702558	0.769231	0	0.52064
20	45050000	45100000	3.30006	0.0029997	3	0	alt:denonly;vin:denonly;chag:denonly	-4.3039	-4.51987	-4.26584	2.54672	2.43657	2.50567	0.5	0.673267	0	0.56198
16	78450000	78500000	3.28935	0.00380668	3	0	alt:ambig;vin:ambig;chag:ambig	1.87347	1.62289	1.36516	3.71765	3.31297	2.69926	0.719583	0.476852	1	0.56738
19	6900000	6950000	3.28771	0.00330114	3	0	alt:ambig;vin:ambig;chag:ambig	1.37856	1.33179	1.31143	1.09424	1.11817	1.07499	0.541339	0.78626	0	0.4469
20	24850000	24900000	3.28752	0.00299358	3	0	alt:denonly;vin:denonly;chag:denonly	0.391284	0.485025	0.551873	2.29195	2.33617	2.31767	0.718354	0.628931	1	0.5308
19	850000	900000	3.28094	0.00329732	3	0	alt:denonly;vin:denonly;chag:denonly	-3.08405	-2.83783	-2.45865	2.98912	2.97948	3.11516	0.705696	0.641304	0	0.41304
20	55450000	55500000	3.27761	0.00298874	3	0	alt:denonly;vin:denonly;chag:denonly	-3.0388	-2.72836	-2.73022	3.11853	3.23297	3.1727	0.627119	0.604396	1	0.50942
21	19450000	19500000	3.2748	0.00325331	3	0	alt:denonly;vin:denonly;chag:denonly	-1.6689	-3.1396	-3.18406	3.12654	3.69091	3.62473	0.708115	0.639175	0	0.49128
22	49550000	49600000	3.26514	0.00332628	3	0	alt:ambig;vin:ambig;chag:ambig	0.42834	0.816011	0.733004	0.855501	0.937047	1.0643	0.830952	0.46087	0	0.63158
16	6950000	7000000	3.25233	0.00378071	3	0	alt:ambig;vin:ambig;chag:ambig	1.98063	1.95463	2.00464	3.99511	4.06826	4.12328	0.710905	0.495935	0	0.5457
20	17650000	17700000	3.24885	0.00297471	3	0	alt:denonly;vin:denonly;chag:denonly	-4.90341	-5.09264	-4.93473	2.51954	2.71374	2.4492	0.820588	0.572254	1	0.617
19	29400000	29450000	3.23712	0.0032726	3	0	alt:denonly;vin:denonly;chag:denonly	-3.84163	-3.82476	-3.54298	2.99894	2.98169	3.0546	0.810241	0.547945	0	0.50812
16	5800000	5850000	3.22453	0.00376119	3	0	alt:ambig;vin:ambig;chag:ambig	1.55529	1.77242	1.77709	1.13433	1.24954	1.21472	0.8437	0.466063	1	0.60512
19	29200000	29250000	3.22331	0.0032648	1	3	alt:shared;vin:shared;chag:shared	2.68507	3.00379	3.0008	-0.0371192	-0.0529704	-0.0469992	0.729853	0.835979	1	0.4684
19	37600000	37650000	3.22014	0.00326301	3	0	alt:ambig;vin:ambig;chag:ambig	1.47336	1.43995	1.63846	-1.11412	-1.11582	-1.04902	0.641089	0.76699	0.951456	0.33238
17	79150000	79200000	3.21585	0.00295422	3	0	alt:ambig;vin:ambig;chag:ambig	-0.695799	-0.18257	-0.120828	1.43133	1.44097	1.43164	0.791667	0.322222	0	0.5534
18	28800000	28850000	3.19582	0.00302456	3	0	alt:denonly;vin:denonly;chag:ambig	0.670187	0.673245	1.64698	2.52808	2.53745	5.12339	0.708912	0.543046	1	0.5605
18	53800000	53850000	3.18935	0.00302124	3	0	alt:ambig;vin:ambig;chag:ambig	1.48505	1.65596	1.59548	-0.684434	-0.600151	-0.642516	0.712719	0.458333	0	0.61556
22	46950000	47000000	3.16218	0.00326698	3	0	alt:ambig;vin:ambig;chag:ambig	2.21165	2.3224	2.1587	1.46203	1.47348	1.58736	0.715074	0.482759	0	0.53752
22	49650000	49700000	3.16145	0.00326656	3	0	alt:ambig;vin:ambig;chag:ambig	-0.230511	-0.106791	-0.367568	1.07382	1.07442	0.992013		0.461538	0	0.64824
20	59650000	59700000	3.16046	0.00293157	3	0	alt:ambig;vin:ambig;chag:ambig	0.815263	0.952935	0.896141	0.581668	0.453553	0.403702	0.892638	0.477528	0	0.65574
17	39200000	39250000	3.15804	0.00292378	1	3	alt:shared;vin:shared;chag:shared	2.11179	2.17284	2.35658	-0.753703	-0.679677	-0.62571	0.730361	0.548387	0	0.3993
19	16050000	16100000	3.14744	0.00322199	3	0	alt:ambig;vin:ambig;chag:ambig	2.58688	2.30816	2.21061	4.2626	4.17078	4.05007	0.643199	0.758065	0	0.39798
17	80950000	81000000	3.14743	0.0029182	3	0	alt:ambig;vin:ambig;chag:ambig	2.35819	2.14299	2.22179	4.14298	4.13208	4.09519	0.636501	0.786008	0	0.43184
17	52650000	52700000	3.14042	0.0029145	3	0	alt:ambig;vin:ambig;chag:ambig	1.79716	1.73055	1.80654	-0.404708	-0.417854	-0.408146	0.720238	0.794118	1	0.43358
18	62700000	62750000	3.11147	0.00298135	3	0	alt:denonly;vin:denonly;chag:denonly	-4.39506	-4.46207	-4.29403	2.88337	2.80566	2.86373	0.820876	0.558824	1	0.61194
18	11650000	11700000	3.109	0.00298009	3	0	alt:ambig;vin:ambig;chag:ambig	-2.5012	-2.53017	-2.82282	1.70403	1.68036	1.53406	0.811751	0.411458	0.119792	0.61706
18	75950000	76000000	3.10684	0.00297898	2	1	alt:shared;vin:ambig;chag:ambig	2.35008	3.55173	3.32449	0.00643801	1.73222	1.59425	0.858232	0.482955	1	0.66058
19	50700000	50750000	3.08131	0.00318468	3	0	alt:ambig;vin:ambig;chag:ambig	-0.405631	-0.0744501	-0.273933	0.56678	0.702873	0.552651	0.56432	0.738318	0	0.44734
16	64450000	64500000	3.0796	0.00365949	3	0	alt:denonly;vin:denonly;chag:denonly	-10.1654	-3.92269	-3.95767	4.56036	2.2651	2.22087	0.811523	0.552529	1	0.6274
16	81100000	81150000	3.07297	0.00365484	1	3	alt:shared;vin:shared;chag:shared	2.36903	2.63291	2.60346	-0.487684	-0.363512	-0.397921	0.540657	0.648829	0	0.38112
16	82900000	82950000	3.06531	0.00364947	3	0	alt:denonly;vin:ambig;chag:ambig	-1.67274	1.04924	1.46386	5.08434	6.15586	6.23353	0.864632	0.391705	1	0.61358
16	7200000	7250000	3.06148	0.00364678	3	0	alt:ambig;vin:ambig;chag:ambig	3.99024	4.74668	4.59031	2.00715	2.31814	2.29982	0.764683	0.526549	1	0.60286
16	6100000	6150000	3.0551	0.0036423	3	0	alt:denonly;vin:denonly;chag:denonly	-2.61614	-2.11405	-2.17724	2.66671	2.76454	2.65362	0.758	0.486166	0.87747	0.56572
17	39150000	39200000	3.05226	0.00286809	3	0	alt:ambig;vin:ambig;chag:ambig	-0.452897	-0.0181381	-0.326583	0.97898	1.03911	1.00636	0.757576	0.539326	0	0.60268
17	10500000	10550000	3.05197	0.00286793	3	0	alt:ambig;vin:ambig;chag:ambig	0.635976	0.788375	0.784522	-0.905961	-0.958025	-0.972618	0.749433	0.325581	1	0.55648
16	87650000	87700000	3.04275	0.00363364	3	0	alt:denonly;vin:denonly;chag:denonly	0.330663	0.859252	0.78759	2.04031	2.1818	2.35511	0.821481	0.484848	0	0.61092
16	1900000	1950000	3.04035	0.00363195	3	0	alt:denonly;vin:denonly;chag:denonly	-5.15293	-5.28017	-7.12021	5.22993	5.13526	4.77327	0.351942	0.745455	0	0.36912
18	67150000	67200000	3.03867	0.00294406	3	0	alt:denonly;vin:ambig;chag:denonly	0.121957	-0.0192492	-0.0187485	3.85721	1.85989	2.78398	0.810811	0.345745	0	0.63736
18	10650000	10700000	3.03779	0.00294361	3	0	alt:denonly;vin:ambig;chag:denonly	-2.51132	-1.55302	-1.82697	2.95148	1.56196	2.42566	0.807359	0.298701	0	0.58866
16	22950000	23000000	3.02779	0.00362314	3	0	alt:denonly;vin:denonly;chag:denonly	-4.73194	-5.19255	-5.0404	4.12849	3.96889	3.93367	0.742823	0.60262	1	0.61066
20	52450000	52500000	3.02557	0.00286574	3	0	alt:ambig;vin:ambig;chag:denonly	1.19104	-4.73406	-3.78814	2.18726	1.90672	2.02915	0.754156	0.553922	0	0.36478
