chrom	start	end	n_pol	n_der_any	pat_den_only	pat_nea_all	pat_nea_any	pat_all_arch	pat_alt_only	pat_vin_only	pat_chag_only	callable_common	callable_den	callable_alt	callable_vin	callable_chag	div_den_alt	div_den_vin	div_den_chag	div_alt_vin	div_alt_chag	div_vin_chag	div_den_afr	div_den_eur	div_alt_afr	div_alt_eur	div_vin_afr	div_vin_eur	div_chag_afr	div_chag_eur	mean_map20	mean_rm	mean_ur	mean_bsc	n_sites	callable_frac	callable_frac_den	anc_valid_bp	hum_sub	sub_rate	repeat_frac	R_den_afr	R_alt_afr	R_vin_afr	R_chag_afr	R_nea_afr	f_nea_all	f_den_only	f_all_arch	f_alt_only	f_vin_only	f_chag_only	z_den_afr	p_den_afr	cddr	low_quality	special_region
6	28500000	28550000	630	298	15	0	3	0	2	0	1	29444	34376	34804	34599	33592	0.0010019	0.00108681	0.00113775	0.000220758	0.000305665	0.000186795	0.000985885	0.00104566	0.000713836	0.000739169	0.000738999	0.000748156	0.000730444	0.000726454	0.714976	0.585714	0	660.043	633	0.58888	0.58888	28864	140	0.00485033	0.54732	0.203261	0.147173	0.152361	0.150597	0.150043	0	0.0503356	0	0.00671141	0	0.0033557	-0.672833	0.452308	False	False	MHC
6	28550000	28600000	437	235	11	0	4	0	0	0	0	19537	23212	23599	23073	22831	0.00138199	0.00148436	0.00158673	0.000563034	0.00112607	0.000563034	0.00142837	0.00143236	0.000955316	0.000969048	0.000899821	0.000885494	0.000844326	0.00080194	0.54052	0.698276	0	681.371	439	0.39074	0.39074	19280	73	0.00378631	0.61376	0.377245	0.252308	0.237651	0.222994	0.237651	0	0.0468085	0	0	0	0	0.21827	0.831385	False	False	MHC
6	28600000	28650000	635	331	10	0	4	0	2	0	0	25174	29724	29580	29105	28890	0.000814332	0.00133074	0.00180742	0.000873918	0.00162866	0.000873918	0.00195777	0.00186295	0.0017783	0.00168419	0.00118618	0.00112426	0.000554318	0.000524613	0.722973	0.566667	0	689	645	0.50348	0.50348	24876	113	0.00454253	0.50026	0.430986	0.391477	0.261129	0.122028	0.258211	0	0.0302115	0	0.0060423	0	0	1.28441	0.289231	False	False	MHC
6	28650000	28700000	605	303	3	2	5	0	0	0	1	21220	26279	26023	25370	25556	0.00230914	0.00219133	0.00204995	0.00035344	0.000683318	0.000377003	0.000832738	0.00075976	0.00223319	0.00223274	0.00208767	0.00208752	0.00191858	0.00191831		0.758621	0		613	0.4244	0.4244	21011	118	0.00561611	0.54918	0.148277	0.39764	0.371728	0.341621	0.37033	0.00660066	0.00990099	0	0	0	0.00330033	-0.981252	0.243692	False	False	MHC
6	28700000	28750000	534	283	1	8	11	0	0	0	2	18670	22401	22481	22408	22027	0.00222282	0.00230316	0.00230316	0.000107124	0.000133905	0.000160686	0.00112765	0.00119628	0.00204472	0.0021356	0.00212507	0.00221547	0.00212507	0.00221404		0.72043	0		550	0.3734	0.3734	15428	133	0.00862069	0.62888	0.130807	0.237188	0.246508	0.246508	0.243401	0.0282686	0.00353357	0	0	0	0.00706714	-0.387339	0.672615	False	False	MHC
6	28750000	28800000	76	48	0	1	2	0	0	0	0	12686	15289	15300	15011	15088	0.00193126	0.00201009	0.00201009	7.88271e-05	7.88271e-05	0	0.00106963	0.00110453	0.00206156	0.0021771	0.00214038	0.00225452	0.00214038	0.00225452		0.6	0		364	0.25372	0.25372	2462	18	0.00731113	0.48088	0.146301	0.281975	0.292757	0.292757	0.289163	0.0208333	0	0	0	0	0			False	False	MHC
6	28800000	28850000	290	156	2	4	4	0	0	0	0	18522	23205	23012	22612	22302	0.00134975	0.00118778	0.00102581	0.000458914	0.000566893	0.000296944	0.00121734	0.00125138	0.0013893	0.00140457	0.00133544	0.00134866	0.00117359	0.00118573	1	0.662338	0		563	0.37044	0.37044	7128	59	0.00827722	0.70054	0.147071	0.167847	0.161339	0.141786	0.156991	0.025641	0.0128205	0	0	0	0	-0.206719	0.831385	False	False	MHC
6	28850000	28900000	651	348	9	11	12	0	1	0	0	23245	28503	28838	27898	27758	0.00092493	0.00096795	0.0008604	0.00012906	0.00010755	0.00015057	0.000951542	0.00108232	0.00110542	0.00119195	0.00114844	0.00123497	0.00104099	0.00112823	0.535461	0.622449	0		656	0.4649	0.4649	23070	118	0.00511487	0.52874	0.186034	0.21612	0.224531	0.203523	0.214724	0.0316092	0.0258621	0	0.00287356	0	0	-0.741995	0.400615	False	False	MHC
6	28900000	28950000	449	235	7	8	10	0	0	0	2	18483	22646	22828	22122	21683	0.00143375	0.00148785	0.00148785	5.41038e-05	5.41038e-05	0.000108208	0.0013008	0.00123407	0.00102771	0.00119406	0.00108177	0.001248	0.00108181	0.00124816	0.632675	0.708333	0	749	504	0.36966	0.36966	16348	100	0.00611696	0.6373	0.212655	0.168009	0.176847	0.176854	0.173904	0.0340426	0.0297872	0	0	0	0.00851064	-0.038632	0.962462	False	False	MHC
6	28950000	29000000	665	320	11	7	11	0	1	2	1	26896	33064	33417	32556	32553	0.000780785	0.000855146	0.000780785	0.000111541	3.71802e-05	0.000111541	0.000870654	0.000942445	0.000796293	0.000862128	0.000870654	0.000936489	0.000796293	0.000862128	0.764103	0.630137	0	749	671	0.53792	0.53792	25428	178	0.00700016	0.50436	0.124376	0.113754	0.124376	0.113754	0.117294	0.021875	0.034375	0	0.003125	0.00625	0.003125	-0.904895	0.294769	False	False	MHC
6	29000000	29050000	485	263	7	2	6	0	2	0	2	22165	25423	25685	25782	25367	0.000744417	0.000744417	0.000789533	9.02323e-05	0.000157907	0.000135349	0.00107838	0.000944444	0.000933715	0.000841042	0.000933715	0.000840641	0.000978832	0.000885757	0.555556	0.555556	0	749	488	0.4433	0.4433	21964	102	0.00464396	0.56276	0.232212	0.20106	0.20106	0.210775	0.204298	0.00760456	0.026616	0	0.00760456	0	0.00760456	-0.48655	0.590154	False	False	MHC
6	29050000	29100000	464	246	4	5	7	0	0	0	2	19986	23266	23376	23132	23408	0.000850595	0.000950665	0.00090063	0.00010007	5.0035e-05	0.000150105	0.00064951	0.00106687	0.000845027	0.00115941	0.000944981	0.00125948	0.000895062	0.001209	0.605159	0.454545	0	752.03	469	0.39972	0.39972	18478	116	0.00627774	0.54046	0.103462	0.134607	0.150529	0.142577	0.142571	0.0203252	0.0162602	0	0	0	0.00813008	-1.35025	0.0633846	False	False	MHC
6	29100000	29150000	440	228	3	7	10	0	2	0	1	18479	21385	21608	21448	21229	0.00113643	0.00119054	0.00113643	0.000162346	0.000108231	0.000162346	0.000697862	0.00110017	0.00122878	0.00169485	0.00128289	0.00174897	0.00122878	0.00169485	0.540123	0.654545	0	757.818	446	0.36958	0.36958	17385	74	0.00425654	0.57548	0.163951	0.28868	0.301394	0.28868	0.292918	0.0307018	0.0131579	0	0.00877193	0	0.00438596	-1.25288	0.107692	False	False	MHC
6	29150000	29200000	497	264	5	0	1	4	1	0	0	22312	25489	25687	25572	25311	0.000291323	0.000358551	0.000268914	0.000112047	2.24095e-05	8.96379e-05	0.000898584	0.000740471	0.000930316	0.000787482	0.000997544	0.00085471	0.000907906	0.000765073	0.642473	0.522388	0	759.075	504	0.44624	0.44624	22163	97	0.00437666	0.58054	0.205313	0.212563	0.227924	0.207443	0.215976	0	0.0189394	0.0151515	0.00378788	0	0	-0.848647	0.325538	False	False	MHC
6	29200000	29250000	360	195	1	0	3	0	2	0	1	16405	19218	18983	19218	18831	0.000152393	0.00021335	0.000121914	0.000182871	9.14355e-05	0.000152393	0.000546065	0.00046384	0.000635745	0.000554069	0.000696702	0.000615026	0.000605267	0.00052359	0.595238	0.810127	0	764	369	0.3281	0.3281	12254	90	0.00734454	0.76246	0.0743498	0.0865602	0.0948599	0.0824104	0.0879435	0	0.00512821	0	0.0102564	0	0.00512821	-1.55858	0.0221538	False	True	MHC
6	29250000	29300000	515	277	14	0	1	5	0	0	1	24502	28515	28459	28828	28509	0.000489756	0.000489756	0.000510162	0	4.0813e-05	4.0813e-05	0.001353	0.00130588	0.00116149	0.0010972	0.00116149	0.0010972	0.00116149	0.00109756	0.649573	0.626016	0	770.748	516	0.49004	0.49004	24278	125	0.00514869	0.5114	0.262784	0.22559	0.22559	0.22559	0.22559	0	0.0505415	0.0180505	0	0	0.00361011	0.0664822	0.948308	False	False	MHC
6	29300000	29350000	526	296	11	0	0	3	0	0	0	23092	26413	26648	26677	26117	0.000736186	0.000757838	0.000757838	4.3305e-05	4.3305e-05	6.49576e-05	0.00225236	0.00202995	0.002096	0.00204424	0.002096	0.00204424	0.00211766	0.00206589	0.768519	0.690323	0	780.516	530	0.46184	0.46184	22617	120	0.00530574	0.6308	0.424514	0.395044	0.395044	0.399125	0.396405	0	0.0371622	0.0101351	0	0	0	1.87769	0.160615	False	False	MHC
6	29350000	29400000	814	497	13	0	6	6	1	0	0	27362	32103	32309	32272	32114	0.000785761	0.000931949	0.000877129	0.000548206	0.000493385	0.000511659	0.00191558	0.00219088	0.00156619	0.00182213	0.00183422	0.00210961	0.00177939	0.00205479	0.786017	0.567797	0	808.195	823	0.54724	0.54724	27030	185	0.00684425	0.57518	0.279881	0.228834	0.267994	0.259984	0.25227	0	0.0261569	0.0120724	0.00201207	0	0	1.19945	0.313231	False	False	MHC
6	29400000	29450000	851	545	40	0	18	10	2	0	0	29226	34423	34389	34801	33587	0.0021214	0.00255765	0.00257476	0.00160816	0.00159105	0.00155683	0.00326522	0.00338655	0.00209947	0.00220602	0.00256654	0.00259778	0.00255836	0.00258156	0.855948	0.467153	0	818.434	857	0.58452	0.58452	28807	175	0.00607491	0.47308	0.537493	0.345596	0.422481	0.421135	0.396404	0	0.0733945	0.0183486	0.00366972	0	0	3.91747	0.0264615	True	False	MHC
6	29450000	29500000	933	502	2	0	9	17	0	1	3	32073	37899	38167	37803	37799	4.67683e-05	0.000982135	0.000935366	0.000966545	0.000919777	0.000997724	0.00162334	0.00165026	0.00160773	0.00163467	0.00138056	0.0013611	0.00139231	0.00137149	0.886986	0.368421	0	824.4	944	0.64146	0.64146	25593	126	0.00492322	0.39726	0.329731	0.32656	0.280418	0.282804	0.296594	0	0.00398406	0.0338645	0	0.00199203	0.0059761	0.610923	0.586462	False	False	MHC
6	29500000	29550000	847	486	4	1	10	10	3	0	0	29590	34430	34823	34848	34702	0.000304157	0.000878675	0.000760392	0.000827982	0.000709699	0.000709699	0.00169449	0.00139586	0.00174519	0.00144655	0.00175804	0.00138014	0.00166274	0.00128799	0.784574	0.612245	0	830.397	855	0.5918	0.5918	29276	182	0.0062167	0.52708	0.272571	0.280726	0.282793	0.267464	0.276994	0.00205761	0.00823045	0.0205761	0.00617284	0	0	0.754219	0.501538	False	False	MHC
6	29550000	29600000	724	372	0	0	8	0	0	0	0	29872	35442	35699	35185	35195	0.000853642	0.00123862	0.00103776	0.00122188	0.00102102	0.00112145	0.00144268	0.00142612	0.00142602	0.00140942	0.00203222	0.00202648	0.00153514	0.00152063	0.72381	0.375839	0		736	0.59744	0.59744	24915	143	0.00573951	0.35052	0.251359	0.248456	0.354076	0.267468	0.29	0	0	0	0	0	0	0.247093	0.813538	False	False	MHC
6	29600000	29650000	546	318	0	0	1	0	0	1	0	23468	27694	28483	28145	27487	0.000767002	0.000639168	0.000958752	0.00100136	0.000937447	0.000916141	0.00109716	0.000923198	0.00132987	0.00116581	0.00107714	0.000875047	0.0013261	0.0011363	0.451149	0.516129	0		553	0.46936	0.46936	20938	87	0.00415512	0.4819	0.26405	0.320056	0.259233	0.319148	0.299479	0	0	0	0	0.00314465	0	-0.448744	0.624	False	True	MHC
6	29650000	29700000	684	475	0	0	2	0	0	1	0	22143	26207	26345	26658	25389	0.00300321	0.00302579	0.00526126	0.00318385	0.00304837	0.00284514	0.00504703	0.00487435	0.00440341	0.00410504	0.00414601	0.0038143	0.00361104	0.00309358		0	0		734	0.44286	0.44286	20393	141	0.00691414	0.64114	0.729958	0.63687	0.599642	0.522268	0.58626	0	0	0	0	0.00210526	0	7.50581	0.00676923	True	False	MHC
6	29700000	29750000	630	436	0	4	4	0	0	0	0	21532	25725	25889	25707	25277	0.00213636	0.00269367	0.00197381	0.00246145	0.00204347	0.00208991	0.00348705	0.00305396	0.00353505	0.00327213	0.00366655	0.0032245	0.00326529	0.0027755		0	0		726	0.43064	0.43064	7647	49	0.00640774	0.5049	0.544193	0.551685	0.572207	0.509586	0.544493	0.00917431	0	0	0	0	0	4.3642	0.0221538	True	False	MHC
6	29750000	29800000	491	360	1	1	2	0	0	0	0	12419	15062	15274	15018	15003	0.00237539	0.00261696	0.00201304	0.00161044	0.00120783	0.00128835	0.00695181	0.00477692	0.0065948	0.0044032	0.00655904	0.00433216	0.00624741	0.0039337	0.740672	0.44186	0		557	0.24838	0.24838	0	0		0.62564						0.00277778	0.00277778	0	0	0	0			False	False	MHC
6	29800000	29850000	421	319	0	0	0	0	0	0	0	16922	20384	20457	20675	19909	0.00939605	0.0089233	0.00793346	0.00528897	0.00457984	0.00608675	0.00821366	0.00750317	0.00697588	0.00813478	0.00688001	0.00768476	0.00641709	0.00654416		0.694534	0		767	0.33844	0.33844	0	0		0.68104						0	0	0	0	0	0	13.883	0.00246154	True	False	MHC
6	29850000	29900000	390	332	4	3	10	0	7	0	0	10872	13871	13700	13950	13396	0.00951987	0.00949687	0.00641556	0.00963484	0.00597866	0.0076113	0.00840052	0.00833211	0.00839247	0.00838533	0.00849889	0.00914569	0.00567869	0.00601788	0.806295	0.547404	0		519	0.21744	0.21744	0	0		0.59728						0.00903614	0.0120482	0	0.0210843	0	0			False	False	MHC
6	29900000	29950000	382	317	0	0	14	2	14	0	0	7247	17445	9500	12607	10816	0.00990065	0.00903822	0.00683041	0.00614047	0.00765834	0.00662343	0.00861936	0.00762462	0.00927886	0.00943998	0.00835758	0.008588	0.00855246	0.00766399	0.753141	0.573529	0		387	0.14494	0.14494	5515	38	0.0068903	0.57624	1.25094	1.34666	1.21295	1.24123	1.26695	0	0	0.00630915	0.044164	0	0			False	False	MHC
6	29950000	30000000	710	451	0	0	3	0	3	0	0	18905	22611	22129	22171	21994	0.000740545	0.000661201	0.000634753	0.000528961	0.000608305	0.000555409	0.00282313	0.00128013	0.00289952	0.00143159	0.00282114	0.00135225	0.00287387	0.00136498	0.693182	0.522388	0		720	0.3781	0.3781	18521	127	0.00685708	0.61906	0.41171	0.422851	0.41142	0.419111	0.417794	0	0	0	0.00665188	0	0	3.02714	0.0523077	True	False	MHC
6	30000000	30050000	773	431	0	1	1	0	0	0	0	27120	32279	32795	32445	31869	0.000571534	0.000626844	0.000516224	0.000460914	0.000479351	0.000534661	0.00157767	0.000863636	0.00164564	0.000997699	0.00169844	0.00105297	0.00165384	0.000970214	0.762153	0.5	0		774	0.5424	0.5424	22599	116	0.00513297	0.46516	0.307359	0.320602	0.330888	0.3222	0.324563	0.00232019	0	0	0	0	0	0.51894	0.638154	False	False	MHC
6	30050000	30100000	831	519	13	6	10	0	4	0	0	27993	32669	33128	32735	32884	0.00226842	0.00216125	0.0020005	0.00175044	0.0017683	0.00169685	0.00221014	0.00170568	0.00269686	0.00225365	0.00259327	0.00213558	0.00260416	0.00212599	0.69426	0.553459	0	852.343	838	0.55986	0.55986	27662	236	0.00853156	0.48834	0.259054	0.316104	0.303962	0.305238	0.308435	0.0115607	0.0250482	0	0.00770713	0	0	1.79266	0.169846	False	False	MHC
6	30100000	30150000	926	576	16	4	11	0	6	0	0	29957	35363	34960	35176	34880	0.00221985	0.00215309	0.00210301	0.00181927	0.00183596	0.00175251	0.00130143	0.00141481	0.00217512	0.00222178	0.00211347	0.00216836	0.00210561	0.00216487	0.722714	0.566667	0	845.133	929	0.59914	0.59914	29390	196	0.00666894	0.46562	0.195148	0.326157	0.316912	0.315735	0.319601	0.00694444	0.0277778	0	0.0104167	0	0	-0.0373673	0.963692	False	False	MHC
6	30150000	30200000	717	416	17	7	13	0	6	0	0	26685	32117	32180	31856	31044	0.00123665	0.0011617	0.0011617	0.000918119	0.000918119	0.000824433	0.00120924	0.00119238	0.00109869	0.00110407	0.00105198	0.00106168	0.00105198	0.00106168	0.651399	0.65	0	840	725	0.5337	0.5337	26369	170	0.00644696	0.58194	0.187568	0.17042	0.163174	0.163174	0.165589	0.0168269	0.0408654	0	0.0144231	0	0	-0.223014	0.819692	False	False	MHC
6	30200000	30250000	463	279	9	2	2	0	0	0	0	18666	21835	22289	21887	21816	0.0016072	0.00195543	0.00147327	0.00158041	0.00136612	0.00141969	0.00175189	0.00173092	0.00182248	0.00182739	0.00212205	0.00217875	0.00168855	0.00169345	0.2	0.644737	0		477	0.37332	0.37332	18499	119	0.00643278	0.73342	0.272337	0.283311	0.32988	0.262491	0.291894	0.00716846	0.0322581	0	0	0	0	0.869797	0.448	False	True	MHC
6	30250000	30300000	591	328	7	5	5	0	0	0	0	25068	30705	31070	30585	29681	0.000817776	0.000977342	0.000817776	0.000638264	0.000598372	0.000698101	0.000955501	0.000896573	0.000777764	0.000738328	0.000998676	0.00101822	0.000852509	0.000798759	0.75	0.6	0	785	604	0.50136	0.50136	24507	134	0.00546783	0.48442	0.17475	0.142244	0.182646	0.155914	0.160268	0.0152439	0.0213415	0	0	0	0	-0.734023	0.407385	False	False	MHC
6	30300000	30350000	792	442	16	4	8	0	4	0	0	30062	35115	35086	34625	34673	0.00176302	0.00174639	0.00169649	0.00111436	0.00111436	0.00106447	0.00184797	0.00185164	0.00134059	0.00128628	0.00141197	0.00137404	0.00138421	0.00134573	0.76996	0.523077	0	830.067	798	0.60124	0.60124	28213	161	0.00570659	0.44834	0.323831	0.234919	0.247428	0.242564	0.241637	0.00904977	0.0361991	0	0.00904977	0	0	1.0633	0.364923	False	False	MHC
6	30350000	30400000	562	374	13	0	5	0	5	0	0	17402	20097	20183	20280	20201	0.00548787	0.00459717	0.00474083	0.00347661	0.0028445	0.00295943	0.00513445	0.00532299	0.00421506	0.00335638	0.00441001	0.00408653	0.00438439	0.00386725	0.635305	0.748936	0	845.885	620	0.34804	0.34804	4732	41	0.00866441	0.71758	0.592591	0.486479	0.50898	0.506023	0.500494	0	0.0347594	0	0.013369	0	0	7.68186	0.00553846	True	False	MHC
6	30400000	30450000	573	353	18	0	6	0	3	0	0	16295	19728	20100	19838	20048	0.00398895	0.00346732	0.00337527	0.00190242	0.00171832	0.00211721	0.0042076	0.00401747	0.00300261	0.00208832	0.00291199	0.002478	0.00330858	0.00277312	0.729092	0.526846	0	846	584	0.3259	0.3259	15281	122	0.00798377	0.52108	0.52702	0.376089	0.364738	0.414413	0.38508	0	0.0509915	0	0.00849858	0	0	5.81531	0.00923077	True	False	MHC
6	30450000	30500000	304	142	2	0	3	0	0	0	0	14945	18536	18816	18150	17745	0.000301104	0.000401472	0.000267648	0.000301104	0.000200736	0.000368016	0.00102716	0.000912412	0.00101167	0.000890264	0.00107853	0.000957845	0.00104513	0.00092372	0.512295	0.69697	0	833.742	309	0.2989	0.2989	14346	115	0.00801617	0.65028	0.128136	0.126204	0.134544	0.130377	0.130375	0	0.0140845	0	0	0	0			False	False	MHC
6	30500000	30550000	516	244	4	0	10	0	1	0	1	24645	30331	30689	30046	29475	0.000649219	0.000791236	0.00052749	0.000588355	0.000568067	0.0008521	0.000691118	0.00068284	0.00067341	0.000662268	0.000806119	0.000783206	0.000558766	0.000566825	0.593333	0.7125	0	823.047	544	0.4929	0.4929	23290	91	0.00390726	0.6048	0.17688	0.172349	0.206313	0.143007	0.17389	0	0.0163934	0	0.00409836	0	0.00409836	-1.26646	0.100308	False	False	MHC
6	30550000	30600000	628	299	4	0	3	0	1	0	0	23669	29038	29649	28683	28469	0.000950611	0.00101398	0.000866112	0.000866112	0.000823862	0.000929486	0.00143293	0.00151114	0.000934294	0.000930952	0.000925476	0.000880472	0.000907157	0.00090256	0.721461	0.5	0	806.419	633	0.47338	0.47338	23007	80	0.0034772	0.34322	0.412094	0.268691	0.266156	0.260887	0.265245	0	0.0133779	0	0.00334448	0	0	0.227467	0.823385	False	False	MHC
6	30600000	30650000	509	223	9	0	2	0	1	1	0	23017	27997	28469	28255	27344	0.000412738	0.000499631	0.000369292	0.000325846	0.000195508	0.000369292	0.000612486	0.000593457	0.000460156	0.00044269	0.000422166	0.000344654	0.000463084	0.000443203	0.480159	0.604651	0	830.698	512	0.46034	0.46034	22926	93	0.00405653	0.48192	0.150988	0.113436	0.104071	0.114158	0.110555	0	0.0403587	0	0.0044843	0.0044843	0	-1.42481	0.0449231	False	True	MHC
6	30650000	30700000	505	264	12	0	4	0	1	0	0	20079	26362	26987	26067	24411	0.00204193	0.00211664	0.00191743	0.00029882	0.000224115	0.000199213	0.00194583	0.00202147	0.000589915	0.000404193	0.000657842	0.000478799	0.000528732	0.000397211	0.636876	0.527027	0	860.586	510	0.40158	0.40158	18410	60	0.0032591	0.37438	0.597046	0.181005	0.201848	0.162232	0.181695	0	0.0454545	0	0.00378788	0	0	1.26039	0.294769	False	False	MHC
6	30700000	30750000	528	288	8	2	5	0	2	0	0	22119	27581	28192	27533	26558	0.0013337	0.00137891	0.00155975	0.00054252	0.00076857	0.000745965	0.00137538	0.00126552	0.00102472	0.000815778	0.00108121	0.000883458	0.00121164	0.00102861	0.55057	0.72093	0	886.07	539	0.44238	0.44238	21291	91	0.00427411	0.61518	0.321794	0.23975	0.252967	0.283483	0.258733	0.00694444	0.0277778	0	0.00694444	0	0	0.111568	0.912	False	False	MHC
6	30750000	30800000	650	430	14	4	7	1	3	0	0	21308	26011	25678	25604	24848	0.00384832	0.00342594	0.00405951	0.00194763	0.00246386	0.0011498	0.00165672	0.0020897	0.00410546	0.00404751	0.00374921	0.00364065	0.00409684	0.0039837	0.652015	0.683673	0	900.48	656	0.42616	0.42616	21054	133	0.00631709	0.6049	0.262259	0.649897	0.593503	0.648532	0.630644	0.00930233	0.0325581	0.00232558	0.00697674	0	0	0.678137	0.544615	False	False	MHC
